"21.578124, 51.351502",Szkoły podstawowe,Zwoleń
"18.286067, 50.239904",Szkoły podstawowe,Dziergowice
"19.982070, 50.060059",Szkoły podstawowe,Kraków
"21.377195, 50.484162",Szkoły podstawowe,Ossala
"21.403663, 50.461055",Szkoły podstawowe,Szwagrów
"16.858552, 52.274184",Szkoły podstawowe,Puszczykowo
"18.386285, 50.054645",Szkoły podstawowe,Pszów
"22.248226, 52.969202",Szkoły podstawowe,Zambrów
"18.540705, 49.938957",Szkoły podstawowe,Jastrzębie-Zdrój
"18.629524, 53.116657",Szkoły podstawowe,Ostaszewo
"16.392974, 52.910144",Szkoły podstawowe,Jędrzejewo
"16.457659, 51.035241",Szkoły podstawowe,Udanin
"16.088490, 51.659459",Szkoły podstawowe,Głogów
"16.062768, 51.653479",Szkoły podstawowe,Głogów
"16.100990, 51.653988",Szkoły podstawowe,Głogów
"16.126277, 51.652943",Szkoły podstawowe,Głogów
"16.074414, 51.668237",Szkoły podstawowe,Głogów
"16.078808, 51.656171",Szkoły podstawowe,Głogów
"16.100971, 51.647581",Szkoły podstawowe,Głogów
"16.115246, 51.643570",Szkoły podstawowe,Głogów
"19.927879, 50.048975",Szkoły podstawowe,Kraków
"15.814430, 51.774430",Szkoły podstawowe,Siedlisko
"19.069508, 49.727150",Szkoły podstawowe,Buczkowice
"18.840930, 50.149736",Szkoły podstawowe,Łaziska Górne
"22.026815, 50.038192",Szkoły podstawowe,Rzeszów
"17.420411, 54.419935",Szkoły podstawowe,Łupawa
"15.433988, 54.094574",Szkoły podstawowe,Drzonowo
"16.248388, 51.713316",Szkoły podstawowe,Szlichtyngowa
"16.312560, 51.808130",Szkoły podstawowe,Wschowa
"22.932243, 54.121055",Szkoły podstawowe,Suwałki
"16.979906, 52.888308",Szkoły podstawowe,Budzyń
"21.678922, 50.492916",Szkoły podstawowe,Jadachy
"21.709547, 50.512100",Szkoły podstawowe,Cygany
"21.667844, 50.516759",Szkoły podstawowe,Chmielów
"21.640110, 50.466503",Szkoły podstawowe,Ślęzaki
"20.034277, 51.712983",Szkoły podstawowe,Żelechlinek
"21.433113, 50.619676",Szkoły podstawowe,Nowodzice
"18.831832, 50.081365",Szkoły podstawowe,Orzesze
"20.923585, 52.154626",Szkoły podstawowe,Raszyn
"16.493210, 50.943160",Szkoły podstawowe,Żarów
"16.490900, 50.942770",Szkoły podstawowe,Żarów
"19.122630, 54.328740",Szkoły podstawowe,Stegna
"18.630650, 54.341950",Szkoły podstawowe,Gdańsk
"21.089990, 51.925500",Szkoły podstawowe,Sułkowice
"19.456851, 51.066191",Szkoły podstawowe,Radomsko
"21.086370, 51.047920",Szkoły podstawowe,Starachowice
"21.088330, 51.052220",Szkoły podstawowe,Starachowice
"21.075960, 51.054170",Szkoły podstawowe,Starachowice
"21.085750, 51.043020",Szkoły podstawowe,Starachowice
"21.056700, 51.055980",Szkoły podstawowe,Starachowice
"21.061880, 51.037450",Szkoły podstawowe,Starachowice
"21.056790, 51.046840",Szkoły podstawowe,Starachowice
"21.079490, 51.047390",Szkoły podstawowe,Starachowice
"21.106320, 51.008540",Szkoły podstawowe,Starachowice
"16.378930, 53.240980",Szkoły podstawowe,Strączno
"18.561820, 54.375890",Szkoły podstawowe,Gdańsk
"18.624920, 54.387520",Szkoły podstawowe,Gdańsk
"18.583950, 54.325010",Szkoły podstawowe,Gdańsk
"19.972190, 49.991240",Szkoły podstawowe,Rajsko
"16.461170, 53.037970",Szkoły podstawowe,Trzcianka
"16.871370, 52.474600",Szkoły podstawowe,Suchy Las
"16.907720, 52.465150",Szkoły podstawowe,Poznań
"17.013170, 52.577420",Szkoły podstawowe,Murowana Goślina
"19.042590, 54.026110",Szkoły podstawowe,Malbork
"19.043990, 54.029020",Szkoły podstawowe,Malbork
"19.034240, 54.039090",Szkoły podstawowe,Malbork
"18.537690, 54.172350",Szkoły podstawowe,Trąbki Wielkie
"19.974440, 50.012250",Szkoły podstawowe,Kraków
"16.593000, 52.438900",Szkoły podstawowe,Ceradz Kościelny
"20.437010, 52.049460",Szkoły podstawowe,Żyrardów
"17.989720, 52.164810",Szkoły podstawowe,Kopojno
"22.387400, 51.113470",Szkoły podstawowe,Niedrzwica Duża
"20.912560, 52.011990",Szkoły podstawowe,Złotokłos
"19.684660, 54.356320",Szkoły podstawowe,Frombork
"22.105640, 50.533620",Szkoły podstawowe,Nisko
"22.148340, 50.521060",Szkoły podstawowe,Nisko
"18.481000, 54.353300",Szkoły podstawowe,Gdańsk
"18.272990, 54.316280",Szkoły podstawowe,Dzierżążno
"18.799380, 54.331110",Szkoły podstawowe,Wiślinka
"18.649110, 54.223610",Szkoły podstawowe,Łęgowo
"18.378520, 54.475050",Szkoły podstawowe,Bojano
"17.972390, 53.797240",Szkoły podstawowe,Czersk
"18.712270, 54.361430",Szkoły podstawowe,Gdańsk
"19.429640, 51.727760",Szkoły podstawowe,Łódź
"19.065880, 54.012640",Szkoły podstawowe,Nowa Wieś Malborska
"18.962620, 54.289480",Szkoły podstawowe,Drewnica
"16.943340, 52.439210",Szkoły podstawowe,Poznań
"18.411350, 54.390680",Szkoły podstawowe,Banino
"19.465700, 51.742910",Szkoły podstawowe,Łódź
"18.669740, 54.263770",Szkoły podstawowe,Pruszcz Gdański
"18.637110, 54.255680",Szkoły podstawowe,Pruszcz Gdański
"18.628290, 54.260690",Szkoły podstawowe,Pruszcz Gdański
"18.569740, 54.376810",Szkoły podstawowe,Gdańsk
"18.607980, 54.339280",Szkoły podstawowe,Gdańsk
"19.010850, 54.017820",Szkoły podstawowe,Malbork
"17.028970, 54.459220",Szkoły podstawowe,Słupsk
"22.377050, 51.939820",Szkoły podstawowe,Łuków
"18.691210, 54.358420",Szkoły podstawowe,Gdańsk
"21.157070, 52.263390",Szkoły podstawowe,Warszawa
"21.170140, 52.265690",Szkoły podstawowe,Warszawa
"21.008390, 53.567630",Szkoły podstawowe,Szczytno
"18.578840, 54.403500",Szkoły podstawowe,Gdańsk
"20.948540, 52.410270",Szkoły podstawowe,Legionowo
"20.936740, 52.390750",Szkoły podstawowe,Legionowo
"18.912790, 52.246680",Szkoły podstawowe,Kłodawa
"20.184150, 53.240150",Szkoły podstawowe,Działdowo
"20.167650, 53.230400",Szkoły podstawowe,Działdowo
"19.815180, 54.384060",Szkoły podstawowe,Braniewo
"18.163190, 54.608400",Szkoły podstawowe,Gościcino
"18.186020, 54.614210",Szkoły podstawowe,Bolszewo
"18.394580, 54.560170",Szkoły podstawowe,Rumia
"17.751560, 54.545890",Szkoły podstawowe,Lębork
"17.746990, 54.544070",Szkoły podstawowe,Lębork
"17.754960, 54.529680",Szkoły podstawowe,Lębork
"18.153090, 53.153960",Szkoły podstawowe,Bydgoszcz
"18.933040, 53.737380",Szkoły podstawowe,Kwidzyn
"23.132820, 52.024370",Szkoły podstawowe,Biała Podlaska
"23.100410, 52.037350",Szkoły podstawowe,Biała Podlaska
"23.148320, 52.027740",Szkoły podstawowe,Biała Podlaska
"22.289700, 52.167940",Szkoły podstawowe,Siedlce
"21.572970, 53.080420",Szkoły podstawowe,Ostrołęka
"21.566320, 53.078410",Szkoły podstawowe,Ostrołęka
"16.311610, 50.865360",Szkoły podstawowe,Świebodzice
"16.309520, 50.853730",Szkoły podstawowe,Świebodzice
"16.341510, 50.872530",Szkoły podstawowe,Świebodzice
"16.324840, 50.858480",Szkoły podstawowe,Świebodzice
"16.315300, 50.859640",Szkoły podstawowe,Świebodzice
"16.323270, 50.856920",Szkoły podstawowe,Świebodzice
"21.974911, 50.044128",Szkoły podstawowe,Rzeszów
"21.777780, 50.244850",Szkoły podstawowe,Kolbuszowa
"21.768040, 50.242660",Szkoły podstawowe,Kolbuszowa
"21.825270, 50.402040",Szkoły podstawowe,Krzątka
"21.869220, 50.386160",Szkoły podstawowe,Klatki
"21.914300, 50.386590",Szkoły podstawowe,Spie
"21.735490, 50.323890",Szkoły podstawowe,Hadykówka
"18.348790, 53.964350",Szkoły podstawowe,Pinczyn
"18.328160, 53.935720",Szkoły podstawowe,Zblewo
"18.898590, 53.151380",Szkoły podstawowe,Kowalewo Pomorskie
"19.713200, 52.305760",Szkoły podstawowe,Pacyna
"16.174010, 51.211150",Szkoły podstawowe,Legnica
"16.141280, 51.203120",Szkoły podstawowe,Legnica
"16.155930, 51.196650",Szkoły podstawowe,Legnica
"16.158970, 51.199350",Szkoły podstawowe,Legnica
"16.176670, 51.192910",Szkoły podstawowe,Legnica
"19.403230, 54.184590",Szkoły podstawowe,Elbląg
"21.023330, 52.293730",Szkoły podstawowe,Warszawa
"21.063280, 52.247640",Szkoły podstawowe,Warszawa
"21.039090, 52.173700",Szkoły podstawowe,Warszawa
"22.191900, 51.388940",Szkoły podstawowe,Kurów
"18.326450, 54.196510",Szkoły podstawowe,Przywidz
"17.887070, 54.344740",Szkoły podstawowe,Sierakowice
"21.059690, 52.131900",Szkoły podstawowe,Warszawa
"18.644166, 53.005555",Szkoły podstawowe,Toruń
"22.931410, 49.806630",Szkoły podstawowe,Medyka
"19.400790, 50.139150",Szkoły podstawowe,Chrzanów
"19.406450, 50.145360",Szkoły podstawowe,Chrzanów
"19.395600, 50.129340",Szkoły podstawowe,Chrzanów
"19.420380, 50.134780",Szkoły podstawowe,Chrzanów
"19.408270, 50.133450",Szkoły podstawowe,Chrzanów
"19.416310, 50.142350",Szkoły podstawowe,Chrzanów
"19.373147, 50.170800",Szkoły podstawowe,Balin
"20.125450, 54.229260",Szkoły podstawowe,Pieniężno
"19.003120, 54.135410",Szkoły podstawowe,Nowy Staw
"14.591450, 53.466740",Szkoły podstawowe,Szczecin
"18.335620, 54.453950",Szkoły podstawowe,Kielno
"18.221580, 54.487530",Szkoły podstawowe,Szemud
"16.413270, 54.425000",Szkoły podstawowe,Darłowo
"19.473924, 50.208372",Szkoły podstawowe,Czyżówka
"19.511900, 50.205250",Szkoły podstawowe,Płoki
"18.440090, 54.070470",Szkoły podstawowe,Skarszewy
"18.018350, 54.339120",Szkoły podstawowe,Miechucino
"18.191130, 54.334000",Szkoły podstawowe,Kartuzy
"18.391130, 53.995100",Szkoły podstawowe,Kleszczewo Kościerskie
"18.685530, 54.171630",Szkoły podstawowe,Pszczółki
"19.440550, 50.201210",Szkoły podstawowe,Trzebinia
"19.449210, 50.176420",Szkoły podstawowe,Trzebinia
"19.489460, 50.151460",Szkoły podstawowe,Młoszowa
"19.521560, 50.150290",Szkoły podstawowe,Dulowa
"19.554440, 50.207130",Szkoły podstawowe,Lgota
"18.758060, 53.484740",Szkoły podstawowe,Grudziądz
"19.004470, 50.278840",Szkoły podstawowe,Katowice
"20.437960, 54.315510",Szkoły podstawowe,Kamińsk
"16.298860, 54.232850",Szkoły podstawowe,Sianów
"16.292280, 54.226830",Szkoły podstawowe,Sianów
"19.173010, 54.329170",Szkoły podstawowe,Sztutowo
"20.926140, 52.394390",Szkoły podstawowe,Legionowo
"20.692850, 52.784600",Szkoły podstawowe,Sońsk
"19.898570, 49.972060",Szkoły podstawowe,Libertów
"19.464990, 50.098290",Szkoły podstawowe,Płaza
"18.559210, 54.479810",Szkoły podstawowe,Gdynia
"18.509730, 54.500030",Szkoły podstawowe,Gdynia
"19.549240, 49.869450",Szkoły podstawowe,Klecza Dolna
"19.455500, 49.872640",Szkoły podstawowe,Chocznia
"17.727230, 52.845980",Szkoły podstawowe,Żnin
"17.713250, 52.852970",Szkoły podstawowe,Żnin
"17.579470, 52.537020",Szkoły podstawowe,Gniezno
"17.599220, 52.549770",Szkoły podstawowe,Gniezno
"17.080250, 52.447800",Szkoły podstawowe,Kobylnica
"16.780760, 52.477800",Szkoły podstawowe,Poznań
"16.897550, 52.348050",Szkoły podstawowe,Luboń
"16.862370, 52.350130",Szkoły podstawowe,Luboń
"19.351000, 49.859590",Szkoły podstawowe,Andrychów
"19.498830, 49.878020",Szkoły podstawowe,Wadowice
"16.879210, 52.346530",Szkoły podstawowe,Luboń
"16.822260, 52.436390",Szkoły podstawowe,Poznań
"16.822790, 52.410000",Szkoły podstawowe,Poznań
"16.559700, 51.846670",Szkoły podstawowe,Leszno
"16.582630, 51.840280",Szkoły podstawowe,Leszno
"16.582960, 51.840290",Szkoły podstawowe,Leszno
"16.584830, 51.865810",Szkoły podstawowe,Leszno
"16.601830, 51.832460",Szkoły podstawowe,Leszno
"16.599900, 51.845910",Szkoły podstawowe,Leszno
"19.693448, 51.962113",Szkoły podstawowe,Głowno
"19.719733, 51.954589",Szkoły podstawowe,Głowno
"19.722716, 51.969405",Szkoły podstawowe,Głowno
"17.427142, 52.488545",Szkoły podstawowe,Fałkowo
"18.468478, 54.430691",Szkoły podstawowe,Gdańsk
"18.454085, 54.417356",Szkoły podstawowe,Gdańsk
"16.889424, 52.450232",Szkoły podstawowe,Poznań
"18.509129, 54.339661",Szkoły podstawowe,Gdańsk
"18.502708, 54.553174",Szkoły podstawowe,Gdynia
"21.818315, 49.875087",Szkoły podstawowe,Żarnowa
"18.676816, 51.704975",Szkoły podstawowe,Włyń
"17.927278, 50.090625",Szkoły podstawowe,Nowa Cerekwia
"23.214427, 51.959548",Szkoły podstawowe,Dokudów Pierwszy
"20.284104, 52.892547",Szkoły podstawowe,Strzegowo
"18.468472, 54.473253",Szkoły podstawowe,Gdynia
"18.461043, 54.471617",Szkoły podstawowe,Gdynia
"18.421260, 54.492382",Szkoły podstawowe,Gdynia
"18.523672, 54.514245",Szkoły podstawowe,Gdynia
"22.704844, 50.079615",Szkoły podstawowe,Wiązownica
"18.585266, 54.424013",Szkoły podstawowe,Gdańsk
"18.552313, 54.493435",Szkoły podstawowe,Gdynia
"20.641398, 49.779167",Szkoły podstawowe,Witowice
"20.650521, 49.802617",Szkoły podstawowe,Wytrzyszczka
"20.658827, 49.852902",Szkoły podstawowe,Tworkowa
"19.971346, 53.690057",Szkoły podstawowe,Ostróda
"19.960875, 53.691423",Szkoły podstawowe,Ostróda
"19.960086, 53.695892",Szkoły podstawowe,Ostróda
"19.962227, 53.705086",Szkoły podstawowe,Ostróda
"20.620983, 49.851125",Szkoły podstawowe,Tymowa
"20.449964, 49.856308",Szkoły podstawowe,Muchówka
"20.397134, 49.859282",Szkoły podstawowe,Leszczyna
"19.945897, 52.102731",Szkoły podstawowe,Łowicz
"19.927723, 52.103848",Szkoły podstawowe,Łowicz
"16.863095, 52.389550",Szkoły podstawowe,Poznań
"20.144899, 49.958983",Szkoły podstawowe,Trąbki
"15.546302, 54.160401",Szkoły podstawowe,Kołobrzeg
"21.270222, 52.373099",Szkoły podstawowe,Zagościniec
"20.813695, 52.171815",Szkoły podstawowe,Pruszków
"18.675496, 49.986534",Szkoły podstawowe,Krzyżowice
"18.714352, 49.991838",Szkoły podstawowe,Warszowice
"19.584936, 50.132308",Szkoły podstawowe,Wola Filipowska
"22.070974, 50.567254",Szkoły podstawowe,Stalowa Wola
"21.162183, 52.209957",Szkoły podstawowe,Warszawa
"18.075632, 53.187380",Szkoły podstawowe,Osielsko
"16.965418, 51.078816",Szkoły podstawowe,Wrocław
"17.921523, 53.133049",Szkoły podstawowe,Bydgoszcz
"17.993331, 53.124230",Szkoły podstawowe,Bydgoszcz
